"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","PPI","DOMESTIC","IDX2015","M","2017-01",100.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-02",101.2,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-03",101.4,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-04",101.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-05",101.5,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-06",101.6,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-07",101.1,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-08",101.5,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-09",101.7,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-10",102.2,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-11",102.7,
"AUT","PPI","DOMESTIC","IDX2015","M","2017-12",102.6,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-01",103.3,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-02",103.1,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-03",103.3,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-04",103.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-05",104.6,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-06",104.8,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-07",105,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-08",105.2,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-09",105.4,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-10",106,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-11",105.6,
"AUT","PPI","DOMESTIC","IDX2015","M","2018-12",104.3,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-01",104.6,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-02",104.8,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-03",105,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-04",105.3,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-05",105.1,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-06",104.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-07",105.1,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-08",104.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-09",104.8,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-10",104.8,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-11",104.7,
"AUT","PPI","DOMESTIC","IDX2015","M","2019-12",104.8,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-01",104.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-02",104.5,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-03",103.7,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-04",102.9,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-05",102.5,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-06",103,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-07",103.2,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-08",103.3,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-09",103,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-10",103.3,
"AUT","PPI","DOMESTIC","IDX2015","M","2020-11",103.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-01",104.7,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-02",105.5,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-03",105,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-04",105.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-05",104.3,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-06",103.3,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-07",103.2,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-08",104.5,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-09",105.9,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-10",106.9,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-11",108,
"BEL","PPI","DOMESTIC","IDX2015","M","2017-12",108,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-01",109.1,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-02",108.9,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-03",109,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-04",110,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-05",111.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-06",112.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-07",112.3,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-08",112.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-09",113.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-10",114.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-11",113.9,
"BEL","PPI","DOMESTIC","IDX2015","M","2018-12",111.8,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-01",111.3,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-02",112.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-03",112.8,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-04",113.8,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-05",113.8,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-06",112.8,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-07",112.5,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-08",111.7,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-09",112.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-10",112.3,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-11",112.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2019-12",112.9,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-01",113.5,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-02",112.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-03",108.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-04",105.4,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-05",103.2,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-06",107.8,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-07",109.1,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-08",109.6,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-09",109.2,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-10",109.2,
"BEL","PPI","DOMESTIC","IDX2015","M","2020-11",109.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-01",99.2,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-02",99.7,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-03",99.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-04",99.9,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-05",99.3,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-06",98.5,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-07",98.3,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-08",98.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-09",99,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-10",99,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-11",98.9,
"CZE","PPI","DOMESTIC","IDX2015","M","2017-12",99.2,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-01",99.4,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-02",98.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-03",99.1,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-04",99.4,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-05",100.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-06",101.3,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-07",101.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-08",101.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-09",102,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-10",102.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-11",102.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2018-12",101.4,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-01",101.3,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-02",101.7,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-03",102.1,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-04",102.9,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-05",103.5,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-06",102.7,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-07",102.5,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-08",102.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-09",102.7,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-10",102.4,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-11",102.1,
"CZE","PPI","DOMESTIC","IDX2015","M","2019-12",102.2,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-01",102.5,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-02",101.6,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-03",100.9,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-04",100.3,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-05",100.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-06",100.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-07",100.9,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-08",100.5,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-09",100.8,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-10",101.3,
"CZE","PPI","DOMESTIC","IDX2015","M","2020-11",100.7,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-01",103.5,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-02",103.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-03",102.4,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-04",103.3,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-05",102.8,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-06",102,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-07",102.1,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-08",102.3,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-09",102.9,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-10",102.9,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-11",103.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2017-12",103,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-01",103.5,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-02",102.8,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-03",103.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-04",104.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-05",105.3,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-06",105,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-07",105.5,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-08",105.3,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-09",105.4,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-10",106.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-11",105.3,
"DNK","PPI","DOMESTIC","IDX2015","M","2018-12",104.1,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-01",104.7,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-02",105.4,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-03",105.4,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-04",106,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-05",106.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-06",105.6,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-07",106,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-08",106,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-09",105.6,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-10",105.5,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-11",105.6,
"DNK","PPI","DOMESTIC","IDX2015","M","2019-12",106.1,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-01",106.6,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-02",106.6,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-03",105.1,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-04",104.7,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-05",104.9,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-06",105.2,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-07",105.1,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-08",105,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-09",104.5,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-10",104.6,
"DNK","PPI","DOMESTIC","IDX2015","M","2020-11",104.8,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-01",99.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-02",100,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-03",100.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-04",100.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-05",100.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-06",99.8,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-07",99.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-08",100,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-09",100.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-10",100.5,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-11",101.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2017-12",101.7,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-01",102.1,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-02",102,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-03",102.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-04",102.6,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-05",103.6,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-06",104.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-07",104.3,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-08",104.4,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-09",104.7,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-10",105.3,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-11",105.4,
"FIN","PPI","DOMESTIC","IDX2015","M","2018-12",104.6,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-01",104.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-02",104.7,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-03",105,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-04",105,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-05",105,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-06",104.1,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-07",104.4,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-08",103.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-09",103.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-10",104.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-11",103.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2019-12",103.8,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-01",103.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-02",102.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-03",100.7,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-04",99.1,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-05",98.9,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-06",100.3,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-07",100.6,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-08",100.2,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-09",99.3,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-10",100.1,
"FIN","PPI","DOMESTIC","IDX2015","M","2020-11",100.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-01",100,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-02",100.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-03",100.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-04",100.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-05",100.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-06",99.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-07",99.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-08",100,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-09",100.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-10",100.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-11",101.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2017-12",101.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-01",101.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-02",101.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-03",101.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-04",102.3,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-05",103.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-06",103.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-07",103.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-08",103.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-09",103.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-10",104.1,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-11",103.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2018-12",102.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-01",102.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-02",102.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-03",103,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-04",103.5,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-05",103.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-06",102.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-07",103,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-08",102.6,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-09",102.9,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-10",102.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-11",102.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2019-12",103,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-01",102.7,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-02",102.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-03",100.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-04",98.8,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-05",99.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-06",100,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-07",100.4,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-08",100.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-09",100,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-10",100.2,
"FRA","PPI","DOMESTIC","IDX2015","M","2020-11",100.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-01",101.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-02",101.5,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-03",101.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-04",101.9,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-05",102,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-06",102,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-07",102.1,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-08",102.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-09",102.4,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-10",102.5,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-11",102.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2017-12",102.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-01",103.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-02",103.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-03",103.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-04",103.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-05",104,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-06",104.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-07",104.4,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-08",104.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-09",104.8,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-10",104.9,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-11",105,
"DEU","PPI","DOMESTIC","IDX2015","M","2018-12",104.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-01",104.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-02",104.7,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-03",104.8,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-04",105.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-05",105.5,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-06",105.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-07",105.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-08",105.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-09",105.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-10",105.1,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-11",105.1,
"DEU","PPI","DOMESTIC","IDX2015","M","2019-12",105.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-01",105.8,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-02",105.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-03",105.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-04",104.6,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-05",104.2,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-06",104.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-07",104.4,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-08",104.4,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-09",104.3,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-10",104.4,
"DEU","PPI","DOMESTIC","IDX2015","M","2020-11",104.5,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-01",100.6,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-02",101,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-03",99.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-04",100.2,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-05",98.2,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-06",96.5,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-07",97.1,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-08",98,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-09",99.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-10",99.6,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-11",101,
"GRC","PPI","DOMESTIC","IDX2015","M","2017-12",101,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-01",101.9,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-02",100.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-03",100.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-04",102.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-05",105.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-06",105.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-07",105.5,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-08",105.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-09",106.5,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-10",107.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-11",103.6,
"GRC","PPI","DOMESTIC","IDX2015","M","2018-12",100.3,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-01",100.7,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-02",102.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-03",104.1,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-04",105.7,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-05",105.5,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-06",102.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-07",104.2,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-08",102.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-09",103.7,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-10",103.3,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-11",103.6,
"GRC","PPI","DOMESTIC","IDX2015","M","2019-12",104.3,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-01",103.7,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-02",101.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-03",93.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-04",89.2,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-05",91.1,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-06",93.9,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-07",94.8,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-08",94.4,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-09",93.5,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-10",93.7,
"GRC","PPI","DOMESTIC","IDX2015","M","2020-11",94.3,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-01",103.1396,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-02",103.8521,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-03",104.3866,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-04",104.8319,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-05",104.2975,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-06",103.5849,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-07",102.5161,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-08",103.2287,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-09",104.5647,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-10",105.7226,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-11",106.7914,
"HUN","PPI","DOMESTIC","IDX2015","M","2017-12",106.9695,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-01",107.5039,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-02",107.7711,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-03",107.7711,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-04",108.6618,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-05",109.9087,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-06",111.601,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-07",111.9572,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-08",112.4026,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-09",112.7232,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-10",113.5159,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-11",112.9637,
"HUN","PPI","DOMESTIC","IDX2015","M","2018-12",111.5475,
